index,wall_time,step,value
0,1739287056.8168058,2,0.0
1,1739287058.7422287,5,0.0
2,1739287066.4102862,7,0.0
3,1739287068.3388352,10,0.0
4,1739287280.4780397,15,0.0
5,1739287281.123286,16,0.0
6,1739287281.7679017,17,0.0
7,1739287293.3197665,21,0.0
8,1739287466.9113114,22,0.0
9,1739287467.5595264,23,0.0
10,1739287470.8035116,28,0.0
11,1739287472.697056,29,0.0
12,1739287473.3481832,30,0.0
13,1739287474.6546466,32,0.0
14,1739287649.328767,37,0.0
15,1739287650.6333244,39,0.0
16,1739287652.5821884,42,0.0
17,1739287779.52933,49,0.0
18,1739287780.8293257,51,0.0
19,1739287781.4803987,52,0.0
20,1739287888.6333296,55,0.0
21,1739287889.2797163,56,0.0
22,1739287894.8611307,60,0.0
23,1739287900.3414137,63,0.0
24,1739287991.0502362,66,0.0
25,1739287991.699255,67,0.0
26,1739287992.3502493,68,0.0
27,1739287993.0110202,69,0.0
28,1739287994.9606247,72,0.0
29,1739288062.4995785,78,0.0
30,1739288064.4361064,81,0.0
31,1739288065.0839982,82,0.0
32,1739288066.3752148,84,0.0
33,1739288067.0238125,85,0.0
34,1739288068.3190413,87,0.0
35,1739288122.3940217,89,0.0
36,1739288124.3431027,92,0.0
37,1739288125.6388247,94,0.0
38,1739288126.290467,95,0.0
39,1739288126.9410815,96,0.0
40,1739288194.5809581,99,0.0
41,1739288195.229971,100,0.0
42,1739288195.8760915,101,0.0
43,1739288197.1711545,103,0.0
44,1739288197.977745,104,0.0
45,1739288199.2821767,106,0.0
46,1739288199.9305427,107,0.0
47,1739288248.0083873,111,0.0
48,1739288251.2596164,116,0.0
49,1739288252.5692835,118,0.0
50,1739288253.2519252,119,0.0
51,1739288288.5022838,121,0.0
52,1739288289.1461487,122,0.0
53,1739288291.105926,125,0.0
54,1739288292.398829,127,0.0
55,1739288293.453445,128,0.0
56,1739288295.4035108,131,0.0
57,1739288317.852823,132,0.0
58,1739288319.1634285,134,0.0
59,1739288320.4595234,136,0.0
60,1739288321.7625327,138,0.0
61,1739288322.4270256,139,0.0
62,1739288323.0790026,140,0.0
63,1739288324.3722441,142,0.0
64,1739288344.2965026,144,0.0
65,1739288344.9566126,145,0.0
66,1739288345.6033998,146,0.0
67,1739288347.5535862,149,0.0
68,1739288352.0951734,151,0.0
69,1739288352.740492,152,0.0
70,1739288366.9501035,154,0.0
71,1739288368.246845,156,0.0
72,1739288371.625918,160,0.0
73,1739288377.4421532,161,0.0
74,1739288395.3010027,165,0.0
75,1739288396.9050834,167,0.0
76,1739288402.8297198,171,0.0
77,1739288406.7367659,175,0.0
78,1739288418.164486,176,0.0
79,1739288423.1140437,182,0.0
80,1739288436.4470649,188,0.0
81,1739288440.706436,190,0.0
82,1739288443.3058746,194,0.0
83,1739288445.2883358,197,0.0
84,1739288450.1292605,198,0.0
85,1739288454.8911817,201,0.0
86,1739288455.5414412,202,0.0
87,1739288456.1887867,203,0.0
88,1739288457.4935489,205,0.0
89,1739288458.1528008,206,0.0
90,1739288466.6874585,211,0.0
91,1739288468.7595007,212,0.0
92,1739288469.412086,213,0.0
93,1739288470.0626123,214,0.0
94,1739288470.7273715,215,0.0
95,1739288471.4019914,216,0.0
96,1739288472.7060158,218,0.0
97,1739288473.3577979,219,0.0
98,1739288478.6474905,220,0.0
99,1739288479.3313842,221,0.0
100,1739288480.8350642,223,0.0
101,1739288482.1324286,225,0.0
102,1739288483.4400775,227,0.0
103,1739288484.7733226,229,0.0
104,1739288486.9909515,232,0.0
105,1739288491.1147048,235,0.0
106,1739288491.7911828,236,0.0
107,1739288493.7459877,239,0.0
108,1739288494.396386,240,0.0
109,1739288496.426143,242,0.0
110,1739288504.2236898,250,0.0
111,1739288504.874212,251,0.0
112,1739288505.5533214,252,0.0
113,1739288507.0244877,253,0.0
114,1739288508.5152345,255,0.0
115,1739288509.8259425,257,0.0
116,1739288511.1272426,259,0.0
117,1739288511.775407,260,0.0
118,1739288522.5414147,265,0.0
119,1739288528.6069002,266,1.0
120,1739288530.640641,269,1.0
121,1739288532.0149908,271,1.0
122,1739288532.698604,272,1.0
123,1739288533.4000893,273,1.0
