index,wall_time,step,value
0,1739317941.1563652,0,0.0
1,1739317971.7882652,2,0.0
2,1739317974.7402432,5,0.0
3,1739317976.7189617,7,0.0
4,1739317977.7091079,8,0.0
5,1739317979.6855204,10,0.0
6,1739318148.3806713,13,0.0
7,1739318150.3587446,15,0.0
8,1739318151.3544707,16,0.0
9,1739318152.3480296,17,0.0
10,1739318156.34199,21,0.0
11,1739318239.805677,22,0.0
12,1739318247.5669656,23,0.0
13,1739318259.5600452,26,0.0
14,1739318261.5467353,28,0.0
15,1739318262.54601,29,0.0
16,1739318263.5494936,30,0.0
17,1739318265.5374699,32,0.0
18,1739318326.191162,37,0.0
19,1739318328.1781237,39,0.0
20,1739318331.14797,42,0.0
21,1739318378.8472126,44,0.0
22,1739318382.2365975,46,0.0
23,1739318383.2273092,47,0.0
24,1739318385.2095852,49,0.0
25,1739318386.2030187,50,0.0
26,1739318387.2052894,51,0.0
27,1739318388.2022045,52,0.0
28,1739318389.2043376,53,0.0
29,1739318390.5453546,54,0.0
30,1739318429.166003,55,0.0
31,1739318430.6623645,56,0.0
32,1739318434.6190104,60,0.0
33,1739318436.6401799,62,0.0
34,1739318437.63352,63,0.0
35,1739318439.6232233,65,0.0
36,1739318461.9504418,66,0.0
37,1739318462.9389877,67,0.0
38,1739318463.9288523,68,0.0
39,1739318464.922473,69,0.0
40,1739318467.9012017,72,0.0
41,1739318469.8963697,74,0.0
42,1739318471.887115,76,0.0
43,1739318498.343819,77,0.0
44,1739318499.3291535,78,0.0
45,1739318501.3117528,80,0.0
46,1739318502.302779,81,0.0
47,1739318503.3031335,82,0.0
48,1739318504.2920568,83,0.0
49,1739318505.2825944,84,0.0
50,1739318506.2699907,85,0.0
51,1739318508.2568514,87,0.0
52,1739318527.6743045,89,0.0
53,1739318528.657307,90,0.0
54,1739318530.657518,92,0.0
55,1739318532.6337678,94,0.0
56,1739318533.62769,95,0.0
57,1739318534.616683,96,0.0
58,1739318536.6321359,98,0.0
59,1739318545.2745407,99,0.0
60,1739318546.2741792,100,0.0
61,1739318547.265609,101,0.0
62,1739318549.2460148,103,0.0
63,1739318550.2380571,104,0.0
64,1739318551.2316236,105,0.0
65,1739318552.2486486,106,0.0
66,1739318553.239636,107,0.0
67,1739318555.237203,109,0.0
68,1739318572.2873914,111,0.0
69,1739318576.3093941,115,0.0
70,1739318577.298853,116,0.0
71,1739318579.2807605,118,0.0
72,1739318580.283442,119,0.0
73,1739318581.2791493,120,0.0
74,1739318586.3539739,121,0.0
75,1739318587.3458588,122,0.0
76,1739318588.3377626,123,0.0
77,1739318590.3233464,125,0.0
78,1739318592.3221796,127,0.0
79,1739318593.3158226,128,0.0
80,1739318596.3032975,131,0.0
81,1739318604.9883611,132,0.0
82,1739318606.9917545,134,0.0
83,1739318607.986155,135,0.0
84,1739318608.9719298,136,0.0
85,1739318610.9804204,138,0.0
86,1739318611.979631,139,0.0
87,1739318613.0001006,140,0.0
88,1739318614.973846,142,0.0
89,1739318620.0179927,144,0.0
90,1739318621.0425663,145,0.0
91,1739318622.0316668,146,0.0
92,1739318624.0272272,148,0.0
