index,wall_time,step,value
0,1739318247.5985055,2,0.0
1,1739318257.429142,5,0.0
2,1739318258.7133558,7,0.0
3,1739318259.353348,8,0.0
4,1739318269.4206367,10,0.0
5,1739318468.757678,15,0.0
6,1739318469.413014,16,0.0
7,1739318470.064745,17,0.0
8,1739318473.7929654,21,0.0
9,1739318571.232871,22,0.0
10,1739318613.6051674,23,0.0
11,1739318616.8457584,28,0.0
12,1739318617.495371,29,0.0
13,1739318618.1420903,30,0.0
14,1739318619.4491374,32,0.0
15,1739318706.5698066,37,0.0
16,1739318707.8629484,39,0.0
17,1739318711.4130385,42,0.0
18,1739318774.1332536,49,0.0
19,1739318775.4154005,51,0.0
20,1739318776.0567007,52,0.0
21,1739318809.633593,55,0.0
22,1739318815.072001,56,0.0
23,1739318837.66442,60,0.0
24,1739318838.94441,62,0.0
25,1739318839.5783768,63,0.0
26,1739318874.4494915,66,0.0
27,1739318875.0834813,67,0.0
28,1739318886.67802,68,0.0
29,1739318887.3137326,69,0.0
30,1739318889.225309,72,0.0
31,1739318921.4303136,78,0.0
32,1739318940.2805796,81,0.0
33,1739318940.919067,82,0.0
34,1739318942.184256,84,0.0
35,1739318942.8235455,85,0.0
36,1739318944.1470113,87,0.0
37,1739318967.4576342,89,0.0
38,1739318976.8895836,92,0.0
39,1739318978.160858,94,0.0
40,1739318978.8154323,95,0.0
41,1739318979.4532807,96,0.0
42,1739318997.5282235,99,0.0
43,1739318998.1669707,100,0.0
44,1739319017.8244276,101,0.0
45,1739319019.1037018,103,0.0
46,1739319019.7412732,104,0.0
47,1739319021.0171907,106,0.0
48,1739319022.1980712,107,0.0
49,1739319032.3482187,111,0.0
50,1739319038.6595702,116,0.0
51,1739319039.93648,118,0.0
52,1739319042.0721989,119,0.0
53,1739319058.5643477,121,0.0
54,1739319066.531024,122,0.0
55,1739319068.4626977,125,0.0
56,1739319069.7425394,127,0.0
57,1739319070.3808153,128,0.0
58,1739319075.4473152,131,0.0
59,1739319081.433555,132,0.0
60,1739319088.5117269,134,0.0
61,1739319089.7962732,136,0.0
62,1739319091.0682163,138,0.0
63,1739319091.7123978,139,0.0
64,1739319092.34892,140,0.0
65,1739319093.6219711,142,0.0
66,1739319111.107423,144,0.0
67,1739319111.747405,145,0.0
68,1739319112.389053,146,0.0
69,1739319114.3082223,149,0.0
70,1739319115.6226566,151,0.0
71,1739319116.267105,152,0.0
72,1739319130.3593576,154,0.0
73,1739319134.5849247,156,0.0
74,1739319135.9090357,158,0.0
75,1739319137.189788,160,0.0
76,1739319137.8290653,161,0.0
