index,wall_time,step,value
0,1738853519.95669,0,0.0
1,1738853524.337315,2,0.0
2,1738853527.6871836,5,0.0
3,1738853529.9261734,7,0.0
4,1738853531.049593,8,0.0
5,1738853533.2930741,10,0.0
6,1738853655.5792289,13,0.0
7,1738853657.8317807,15,0.0
8,1738853658.9679558,16,0.0
9,1738853660.1179147,17,0.0
10,1738853664.6458404,21,0.0
11,1738853732.2588348,22,0.0
12,1738853733.3936324,23,0.0
13,1738853740.9306488,26,0.0
14,1738853743.1746936,28,0.0
15,1738853744.2990685,29,0.0
16,1738853745.423795,30,0.0
17,1738853747.6725032,32,0.0
18,1738853776.038613,37,0.0
19,1738853778.2744699,39,0.0
20,1738853781.6532476,42,0.0
21,1738853806.5127773,44,0.0
22,1738853808.780191,46,0.0
23,1738853809.9078453,47,0.0
24,1738853812.1860652,49,0.0
25,1738853814.5227313,51,0.0
26,1738853815.637327,52,0.0
27,1738853816.7541316,53,0.0
28,1738853834.70369,55,0.0
29,1738853835.8495328,56,0.0
30,1738853840.335689,60,0.0
31,1738853842.5744004,62,0.0
32,1738853843.7083066,63,0.0
33,1738853845.9723823,65,0.0
34,1738853849.4699686,66,0.0
35,1738853850.6230361,67,0.0
36,1738853851.7635038,68,0.0
37,1738853852.8945365,69,0.0
38,1738853856.3008354,72,0.0
39,1738853858.537845,74,0.0
40,1738853860.8578851,76,0.0
41,1738853864.2384677,78,0.0
42,1738853866.5129824,80,0.0
43,1738853867.6504033,81,0.0
44,1738853868.8663447,82,0.0
45,1738853869.9933453,83,0.0
46,1738853871.1458788,84,0.0
47,1738853872.269192,85,0.0
48,1738853874.5874949,87,0.0
49,1738853877.8864815,89,0.0
50,1738853881.7178247,92,0.0
51,1738853883.9869616,94,0.0
52,1738853885.1199007,95,0.0
53,1738853886.3020306,96,0.0
54,1738853888.563145,98,0.0
55,1738853889.7036853,99,0.0
56,1738853890.8406992,100,0.0
57,1738853892.578536,101,0.0
58,1738853894.8839982,103,0.0
59,1738853896.0237818,104,0.0
60,1738853897.2003522,105,0.0
61,1738853898.4155915,106,0.0
62,1738853899.6955402,107,0.0
63,1738853904.301771,111,0.0
64,1738853908.995837,115,0.0
65,1738853910.6130652,116,0.0
66,1738853913.0873747,118,0.0
67,1738853914.217321,119,0.0
68,1738853915.3397868,120,0.0
69,1738853916.468959,121,0.0
70,1738853917.632586,122,0.0
71,1738853918.773932,123,0.0
72,1738853921.1458974,125,0.0
73,1738853923.4879112,127,0.0
74,1738853924.7655506,128,0.0
75,1738853928.2714002,131,0.0
76,1738853929.446598,132,0.0
77,1738853931.7942758,134,0.0
78,1738853934.2797816,136,0.0
79,1738853936.5369258,138,0.0
80,1738853937.6599176,139,0.0
81,1738853938.7934718,140,0.0
82,1738853941.3128233,142,0.0
83,1738853943.6287668,144,0.0
84,1738853944.7866595,145,0.0
85,1738853945.9927526,146,0.0
86,1738853949.587863,149,0.0
87,1738853951.9378479,151,0.0
88,1738853953.1053877,152,0.0
89,1738853955.4146676,154,0.0
