index,wall_time,step,value
0,1738854098.7506108,265,0.6496195793151855
1,1738854424.9709558,531,0.4578985273838043
2,1738854752.565095,797,0.4032294452190399
3,1738855079.1385975,1063,0.3768479824066162
4,1738855406.5806935,1329,0.35504546761512756
5,1738855732.95571,1595,0.3431304097175598
6,1738856059.645916,1861,0.338760644197464
7,1738856387.4038699,2127,0.3254644274711609
8,1738856713.6695724,2393,0.3203350007534027
9,1738857040.7911994,2659,0.3152658939361572
10,1738857369.1899738,2925,0.3054291903972626
11,1738857695.8730264,3191,0.30366966128349304
12,1738858023.7926958,3457,0.3035687506198883
13,1738858351.0181851,3723,0.29537084698677063
14,1738858677.7160666,3989,0.2837912440299988
15,1738859004.0651276,4255,0.2870829403400421
16,1738859330.4177158,4521,0.28923285007476807
17,1738859657.3979592,4787,0.2780497670173645
18,1738859983.6780128,5053,0.2750847637653351
19,1738860309.4660869,5319,0.28481268882751465
20,1738860635.5920932,5585,0.27608442306518555
21,1738860962.2603014,5851,0.2738850712776184
22,1738861289.5303245,6117,0.2679445743560791
23,1738861616.864363,6383,0.27416524291038513
24,1738861944.3810427,6649,0.26569876074790955
25,1738862270.7825859,6915,0.2628406584262848
26,1738862597.0858362,7181,0.25931158661842346
27,1738862923.0561419,7447,0.26188352704048157
28,1738863249.9251313,7713,0.2622329294681549
29,1738863577.1993296,7979,0.2595064043998718
30,1738863904.2805772,8245,0.25633591413497925
31,1738864231.6915493,8511,0.2584068775177002
32,1738864558.6384313,8777,0.25378885865211487
33,1738864884.5173292,9043,0.25125154852867126
34,1738865211.9735806,9309,0.2501140832901001
35,1738865539.4545314,9575,0.2487684041261673
36,1738865866.3161898,9841,0.25147175788879395
37,1738866194.6303713,10107,0.23372167348861694
38,1738866521.7857208,10373,0.2279043197631836
39,1738866849.5079618,10639,0.22720478475093842
40,1738867177.4157193,10905,0.22511419653892517
41,1738867505.3078575,11171,0.2240407019853592
42,1738867832.7872078,11437,0.22459042072296143
43,1738868159.7760108,11703,0.2230248898267746
44,1738868486.786277,11969,0.2223351001739502
45,1738868813.9368734,12235,0.22155609726905823
46,1738869142.284833,12501,0.22120042145252228
47,1738869470.0238721,12767,0.2224053293466568
48,1738869796.743092,13033,0.22132070362567902
49,1738870123.8450096,13299,0.21965903043746948
50,1738870450.9325001,13565,0.2203429490327835
51,1738870778.81463,13831,0.2195211797952652
52,1738871106.6178136,14097,0.21884125471115112
53,1738871433.6151185,14363,0.21723580360412598
54,1738871760.707863,14629,0.2164183408021927
55,1738872087.5218546,14895,0.2162891924381256
56,1738872414.7270224,15161,0.21611732244491577
57,1738872742.5539799,15427,0.21587155759334564
58,1738873070.2440536,15693,0.2171473354101181
59,1738873397.472983,15959,0.21637065708637238
60,1738873724.2034707,16225,0.2161606103181839
61,1738874051.5743551,16491,0.2160492092370987
62,1738874378.547286,16757,0.21589937806129456
63,1738874706.7614255,17023,0.21580006182193756
64,1738875033.5432067,17289,0.21784453094005585
