index,wall_time,step,value
0,1739203977.0805793,2,0.0
1,1739203993.2225177,5,0.0
2,1739203994.8162143,7,0.0
3,1739203997.202895,10,0.0
4,1739204205.5024753,15,0.0
5,1739204206.2976706,16,0.0
6,1739204207.0972402,17,0.0
7,1739204210.2827833,21,0.0
8,1739204287.198301,22,0.0
9,1739204287.9983122,23,0.0
10,1739204300.5185766,28,0.0
11,1739204301.3273547,29,0.0
12,1739204302.1250699,30,0.0
13,1739204303.7136912,32,0.0
14,1739204353.5039847,37,0.0
15,1739204355.1108904,39,0.0
16,1739204357.9487202,42,0.0
17,1739204413.6609328,49,0.0
18,1739204415.257603,51,0.0
19,1739204416.0471902,52,0.0
20,1739204449.7943542,55,0.0
21,1739204450.5884113,56,0.0
22,1739204455.3377588,60,0.0
23,1739204457.7418485,63,0.0
24,1739204488.986176,66,0.0
25,1739204489.7832184,67,0.0
26,1739204490.5821307,68,0.0
27,1739204491.3716784,69,0.0
28,1739204493.7402167,72,0.0
29,1739204523.6519358,78,0.0
30,1739204526.1012645,81,0.0
31,1739204526.9932284,82,0.0
32,1739204528.638354,84,0.0
33,1739204529.4377594,85,0.0
34,1739204531.671238,87,0.0
35,1739204546.029168,89,0.0
36,1739204549.8016217,92,0.0
37,1739204551.4812434,94,0.0
38,1739204552.2771747,95,0.0
39,1739204553.0755177,96,0.0
40,1739204560.6119692,99,0.0
41,1739204561.4419138,100,0.0
42,1739204564.4200609,101,0.0
43,1739204566.1795704,103,0.0
44,1739204566.9968004,104,0.0
45,1739204568.5861506,106,0.0
46,1739204569.3921275,107,0.0
47,1739204572.8847625,111,0.0
48,1739204576.9841125,116,0.0
49,1739204578.6250045,118,0.0
50,1739204579.4781916,119,0.0
51,1739204591.5180242,121,0.0
52,1739204592.3674738,122,0.0
53,1739204594.8508396,125,0.0
54,1739204596.4824407,127,0.0
55,1739204597.367053,128,0.0
56,1739204599.8457448,131,0.0
57,1739204602.441258,132,0.0
58,1739204604.0360942,134,0.0
59,1739204605.724375,136,0.0
60,1739204607.4127605,138,0.0
61,1739204608.3333724,139,0.0
62,1739204609.2429762,140,0.0
63,1739204611.044387,142,0.0
64,1739204612.751812,144,0.0
65,1739204613.555696,145,0.0
66,1739204614.3608153,146,0.0
67,1739204616.801377,149,0.0
68,1739204618.4801552,151,0.0
69,1739204619.2792199,152,0.0
70,1739204622.0742075,154,0.0
71,1739204624.5630395,156,0.0
72,1739204628.5419366,160,0.0
73,1739204629.4368958,161,0.0
74,1739204633.0205865,165,0.0
75,1739204634.6814058,167,0.0
76,1739204638.1046264,171,0.0
77,1739204641.438678,175,0.0
78,1739204642.3144825,176,0.0
79,1739204647.583584,182,0.0
80,1739204652.618492,188,0.0
81,1739204654.4522064,190,0.0
82,1739204657.893611,194,0.0
83,1739204660.5412986,197,0.0
84,1739204661.505135,198,0.0
85,1739204663.9930108,201,0.0
86,1739204664.8698888,202,0.0
87,1739204665.7425184,203,0.0
88,1739204667.423887,205,0.0
89,1739204668.2311656,206,0.0
90,1739204672.458665,211,0.0
91,1739204673.2577183,212,0.0
92,1739204674.1388795,213,0.0
93,1739204674.944708,214,0.0
94,1739204675.8456347,215,0.0
95,1739204676.7707722,216,0.0
96,1739204678.5850723,218,0.0
97,1739204679.4884882,219,0.0
98,1739204680.340107,220,0.0
99,1739204681.1811452,221,0.0
100,1739204682.99028,223,0.0
101,1739204684.692934,225,0.0
102,1739204686.373844,227,0.0
103,1739204688.057178,229,0.0
104,1739204690.598957,232,0.0
105,1739204693.1167915,235,0.0
106,1739204693.9558032,236,0.0
107,1739204696.4517884,239,0.0
108,1739204697.2881615,240,0.0
109,1739204698.9538813,242,0.0
110,1739204705.4024248,250,0.0
111,1739204706.2020104,251,0.0
112,1739204707.0012233,252,0.0
113,1739204707.8017585,253,0.0
114,1739204709.3904748,255,0.0
115,1739204710.9894087,257,0.0
116,1739204712.584252,259,0.0
117,1739204713.379607,260,0.0
118,1739204716.958223,265,0.0
119,1739204730.478745,265,0.0
120,1739204738.0848868,266,1.0
121,1739204740.73783,269,1.0
122,1739204742.630633,271,1.0
123,1739204743.5239124,272,1.0
124,1739204744.3941483,273,1.0
125,1739204746.1344054,275,1.0
126,1739204748.8356628,278,1.0
127,1739204749.700925,279,1.0
128,1739204752.2925484,282,1.0
129,1739204753.1175032,283,1.0
130,1739204753.953397,284,1.0
131,1739204755.570916,286,1.0
132,1739204758.0650396,289,1.0
133,1739204758.8867419,290,1.0
134,1739204763.0641932,295,1.0
135,1739204764.7060785,297,1.0
136,1739204766.5056887,299,1.0
137,1739204767.3333957,300,1.0
138,1739204768.1643708,301,1.0
139,1739204768.9785929,302,1.0
140,1739204769.8394785,303,1.0
141,1739204771.5259151,305,1.0
142,1739204775.6958482,310,1.0
143,1739204776.514543,311,1.0
144,1739204777.3199039,312,1.0
145,1739204782.241513,318,1.0
146,1739204783.047499,319,1.0
147,1739204784.726132,321,1.0
148,1739204785.584657,322,1.0
149,1739204786.3975213,323,1.0
150,1739204787.2360454,324,1.0
151,1739204788.1121073,325,1.0
152,1739204788.9902785,326,1.0
153,1739204789.8152287,327,1.0
154,1739204790.6563458,328,1.0
155,1739204792.3549528,330,1.0
156,1739204793.1917357,331,1.0
157,1739204797.3216321,336,1.0
158,1739204798.1550016,337,1.0
159,1739204798.9796627,338,1.0
160,1739204799.786523,339,1.0
161,1739204800.6078951,340,1.0
162,1739204801.4360442,341,1.0
163,1739204803.0620027,343,1.0
164,1739204808.9914982,350,1.0
165,1739204809.818409,351,1.0
166,1739204811.4969983,353,1.0
167,1739204812.3173804,354,1.0
