index,wall_time,step,value
0,1739232302.891821,2,0.0
1,1739232329.8444908,5,0.0
2,1739232331.3830886,7,0.0
3,1739232360.8763847,8,0.0
4,1739232362.4229596,10,0.0
5,1739232437.2103367,13,0.0
6,1739232452.8198125,15,0.0
7,1739232453.5960662,16,0.0
8,1739232454.3709722,17,0.0
9,1739232469.172894,21,0.0
10,1739232495.4334886,22,0.0
11,1739232498.4035876,23,0.0
12,1739232515.1784956,28,0.0
13,1739232515.9504216,29,0.0
14,1739232517.0472038,30,0.0
15,1739232518.9361537,32,0.0
16,1739232554.2178159,37,0.0
17,1739232555.7687132,39,0.0
18,1739232559.288199,42,0.0
19,1739232572.6095734,44,0.0
20,1739232576.5785627,46,0.0
21,1739232577.426907,47,0.0
22,1739232578.9668183,49,0.0
23,1739232580.5665755,51,0.0
24,1739232581.358708,52,0.0
25,1739232590.4654806,55,0.0
26,1739232595.0180902,56,0.0
27,1739232598.2225916,60,0.0
28,1739232599.7788618,62,0.0
29,1739232601.199422,63,0.0
30,1739232602.7562387,65,0.0
31,1739232612.4945662,66,0.0
32,1739232616.2648468,67,0.0
33,1739232617.0519617,68,0.0
34,1739232618.9699628,69,0.0
35,1739232621.3045437,72,0.0
36,1739232623.472281,74,0.0
37,1739232631.898352,78,0.0
38,1739232634.2485707,81,0.0
39,1739232635.036254,82,0.0
40,1739232636.6835406,84,0.0
41,1739232637.6887746,85,0.0
42,1739232639.259553,87,0.0
43,1739232643.4157445,89,0.0
44,1739232646.8466082,92,0.0
45,1739232648.4653392,94,0.0
46,1739232649.248305,95,0.0
47,1739232650.0809922,96,0.0
48,1739232651.7313607,98,0.0
49,1739232653.2893596,99,0.0
50,1739232654.1474178,100,0.0
51,1739232654.9333527,101,0.0
52,1739232656.4953299,103,0.0
53,1739232657.2926786,104,0.0
54,1739232659.005798,106,0.0
55,1739232659.8805127,107,0.0
56,1739232664.2970092,111,0.0
57,1739232667.429452,115,0.0
58,1739232668.217393,116,0.0
59,1739232672.8439915,118,0.0
60,1739232673.6669998,119,0.0
61,1739232674.4452276,120,0.0
62,1739232675.2311168,121,0.0
63,1739232676.0056806,122,0.0
64,1739232676.9468887,123,0.0
65,1739232678.5341675,125,0.0
66,1739232680.1860976,127,0.0
67,1739232681.044274,128,0.0
68,1739232683.8095775,131,0.0
69,1739232686.5630898,132,0.0
70,1739232688.2042046,134,0.0
71,1739232689.7760565,136,0.0
72,1739232691.3442528,138,0.0
73,1739232692.4495413,139,0.0
74,1739232693.3496416,140,0.0
75,1739232695.1122727,142,0.0
76,1739232696.8613088,144,0.0
77,1739232697.736061,145,0.0
78,1739232698.5842814,146,0.0
79,1739232701.4514806,149,0.0
80,1739232703.1482208,151,0.0
81,1739232703.9465616,152,0.0
82,1739232705.505962,154,0.0
